hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N143605,LINCOLNWOOD HIGH SCHOOL,F17135,42,IL,N,Non_CBSA,N,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
N143630,RICHMOND-BURTON COMMUNITY HIGH SCHOOL,F17111,41,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",4,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
N143634,SOUTHLAND COLLEGE PREP CHTR HS,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N143655,RIVERSIDE-BROOKFIELD HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0
N143680,ROCHELLE TOWNSHIP HIGH SCHOOL,F17141,32,IL,40300,"Rochelle, IL",466,"Rockford-Freeport-Rochelle, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N143685,ROCHESTER HIGH SCHOOL,F17167,22,IL,44100,"Springfield, IL",522,"Springfield-Jacksonville-Lincoln, IL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
N143690,ROCK FALLS TOWNSHIP HIGH SCHOOL,F17195,32,IL,44580,"Sterling, IL",221,"Dixon-Sterling, IL",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N143693,AUBURN HIGH SCHOOL,F17201,12,IL,40420,"Rockford, IL",466,"Rockford-Freeport-Rochelle, IL",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
N143697,ROCKFORD BOYLAN CATHOLIC HIGH SCHOOL,F17201,12,IL,40420,"Rockford, IL",466,"Rockford-Freeport-Rochelle, IL",8,0,0,0,2,0,2,0,0,0,2,0,2,0,1,0,1,0,3,0
N143700,EAST HIGH SCHOOL,F17201,12,IL,40420,"Rockford, IL",466,"Rockford-Freeport-Rochelle, IL",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
